country,region,year,urban_sol,agriculture_sol,total_sol
CHN,Shanghai,2013,439801.8872261529,40326.51529923048,519415.1440452052
CHN,Shanxi,2013,291084.9652508218,403935.5954692849,723438.803402896
CHN,Shaanxi,2013,225365.83138010628,474690.7150947849,793222.8009212962
CHN,Shandong,2013,577532.1497212815,625262.9935191626,1241653.5565081376
CHN,Ningxia Hui,2013,36639.9012341118,180846.67692935336,228535.34452332224
CHN,Qinghai,2013,28821.807084682907,489923.26076402323,775353.3587664209
CHN,Liaoning,2013,452991.5968854463,357961.45241211174,902412.8960036931
CHN,Chongqing,2013,113838.16072231333,62414.480746239395,279961.2722384549
CHN,Guangxi,2013,141653.38810978754,85558.99167591736,448332.4410198422
CHN,Guizhou,2013,67777.9769495461,90811.6224446793,413066.7187548593
CHN,Zhejiang,2013,608444.6362102405,94975.60413376373,1047154.6387125961
CHN,Yunnan,2013,168745.52291912603,150939.05012605386,621643.2571987079
CHN,Hebei,2013,406808.70161855937,515584.30486071884,960225.1037695616
CHN,Heilongjiang,2013,351851.5441339606,624537.5558415554,1310843.8963988898
CHN,Henan,2013,353976.3439528452,466083.077984727,868819.7979125483
CHN,Hubei,2013,204748.82372175585,119498.03999821431,533534.82548982
CHN,Hunan,2013,163897.98556024558,51471.28092934715,464479.02273528196
CHN,Inner Mongolia,2013,159839.64608982985,1201777.6318437203,1841481.422529295
CHN,Jiangsu,2013,1008418.9538973595,337913.4306239426,1635759.341136976
CHN,Guangdong,2013,865494.7269808328,100418.69277740645,1477880.5951197287
CHN,Beijing,2013,345215.08295536577,59235.07311887696,412904.46832567145
CHN,Jilin,2013,226905.51288469197,307472.7772113529,631511.4441838481
CHN,Xinjiang,2013,172489.1039602206,872283.9574458827,2617367.530395764
CHN,Tianjin,2013,273185.7886960186,70223.73552170758,375588.39590592106
CHN,Jiangxi,2013,111566.55196120462,38942.2508750495,324897.80352798046
CHN,Sichuan,2013,277059.0866338362,327577.73856672266,978416.6531154044
CHN,Tibet Autonomous Region,2013,6930.510218820122,587207.162718662,1056477.4931860394
CHN,Hainan,2013,41469.81420213089,24274.366326749256,126600.1528214338
CHN,Anhui,2013,297024.95919074246,260892.13121959058,680372.4469661047
CHN,Fujian,2013,352996.85660770145,47459.47730871458,622793.9743873533
CHN,Gansu,2013,84018.18506857131,344087.3923305264,671083.3794887856
CHN,Shanghai,2014,423424.44294440374,40980.102133459906,502339.406204971
CHN,Shanxi,2014,281197.23722987145,368170.04632286675,678673.299345509
CHN,Shaanxi,2014,210492.85556867332,483205.7342188765,792728.4481140086
CHN,Shandong,2014,567681.0653027854,619820.2040455262,1227599.3335821289
CHN,Ningxia Hui,2014,37512.90682746286,174372.03088414413,221416.88351448305
CHN,Qinghai,2014,31823.991706763307,389880.1906389694,655517.1555252427
CHN,Liaoning,2014,425432.11852940475,301035.28416986007,792228.9481834464
CHN,Chongqing,2014,109025.01054449727,63438.47062837188,279823.46856262325
CHN,Guangxi,2014,150046.64086493666,86147.7062829265,455927.7775291392
CHN,Guizhou,2014,64750.66703097428,90438.70345927989,405917.76787728077
CHN,Zhejiang,2014,586287.6074421826,95342.0608173094,1027815.7018019786
CHN,Yunnan,2014,175097.6104855344,134073.1897040311,539714.6242621591
CHN,Hebei,2014,404475.13723198685,488944.54873385205,929350.9936018557
CHN,Heilongjiang,2014,264337.2105943594,415896.5709711459,926175.1543732188
CHN,Henan,2014,345511.28986967955,442342.6739855701,838759.6370466774
CHN,Hubei,2014,187596.1480937322,112097.59067867543,499977.4436443907
CHN,Hunan,2014,154080.06674165645,51570.95221731764,449332.8717798522
CHN,Inner Mongolia,2014,154870.835172394,957419.7262477971,1508652.9480209397
CHN,Jiangsu,2014,969099.6805007083,332582.0764117241,1594560.6215641368
CHN,Guangdong,2014,843273.408781325,102405.06568524337,1448775.2224846152
CHN,Beijing,2014,337188.7286501166,57729.57770209015,402126.4047859035
CHN,Jilin,2014,184012.74595271103,213803.8711842515,453768.7751237652
CHN,Xinjiang,2014,189380.87311842153,880309.8432160992,2526604.193623898
CHN,Tianjin,2014,267671.4195570256,71526.39776086641,372843.8745025215
CHN,Jiangxi,2014,101471.46123733438,37702.402803632795,289223.6138200336
CHN,Sichuan,2014,272882.2430650841,271280.6503386103,881504.4785928875
CHN,Tibet Autonomous Region,2014,5516.950726240917,464620.25513607886,867738.7721169187
CHN,Hainan,2014,44911.5424414597,25480.12824996255,133640.30306330253
CHN,Anhui,2014,289417.2673631563,256222.8704954638,662217.5287439135
CHN,Fujian,2014,337684.3213465361,47874.11160445677,590603.3432712731
CHN,Gansu,2014,85657.87767946294,327445.0231226276,629282.8582822813
CHN,Shanghai,2015,436062.73264182196,43360.67303066896,517052.1700068141
CHN,Shanxi,2015,273158.37271567155,326151.05225521885,626630.4187478379
CHN,Shaanxi,2015,202806.2805469672,443867.1614971039,726756.6802087859
CHN,Shandong,2015,557763.4366515487,608021.8804329983,1206841.7907757352
CHN,Ningxia Hui,2015,37972.772181815,165057.88557908632,212579.31480175105
CHN,Qinghai,2015,33851.79309170921,411690.56517114944,667655.1161357885
CHN,Liaoning,2015,414298.8313697797,286461.6311188978,763881.8688820226
CHN,Chongqing,2015,122177.38989441196,59615.9271973397,277929.3460955331
CHN,Guangxi,2015,156382.44436556552,85265.53100844147,481839.9874575197
CHN,Guizhou,2015,68843.12166063538,93014.44900123219,413093.6343633014
CHN,Zhejiang,2015,610318.5610266324,96645.57747082246,1063736.9266757541
CHN,Yunnan,2015,174514.8820096405,136355.48599206624,650705.7847393993
CHN,Hebei,2015,409338.39172772475,465401.25523289276,913336.7299586959
CHN,Heilongjiang,2015,291130.0189249765,430859.889532228,946064.0173247264
CHN,Henan,2015,348727.2198428401,424386.0941525356,819281.3589726534
CHN,Hubei,2015,199498.69252075625,106168.20232630294,504638.3814911849
CHN,Hunan,2015,158275.2734883569,50198.41101931928,439362.09521274624
CHN,Inner Mongolia,2015,157125.806126597,812009.549791571,1293372.3229771152
CHN,Jiangsu,2015,995011.8524568091,336680.9276147821,1632683.0022586724
CHN,Guangdong,2015,860747.5173024301,105573.76434641602,1482850.1328118378
CHN,Beijing,2015,348306.10732816363,59796.053784935255,415550.8515368713
CHN,Jilin,2015,204367.2812304232,234603.7343940485,494412.72553671006
CHN,Xinjiang,2015,183177.76231716233,726235.5792663988,2135954.269402204
CHN,Tianjin,2015,265604.868679872,72461.67855947764,373100.8416994504
CHN,Jiangxi,2015,109061.15421298331,37270.817386455885,291650.2150262784
CHN,Sichuan,2015,301183.1888113567,310973.3898693422,982739.262241814
CHN,Tibet Autonomous Region,2015,5440.674465639597,596697.5353088169,1051037.5885260997
CHN,Hainan,2015,49567.1036657788,24542.894905532303,140968.73076799282
CHN,Anhui,2015,296598.4372660037,257874.36055716203,678115.0954875848
CHN,Fujian,2015,346969.00730791147,50208.8796880288,613009.4720442864
CHN,Gansu,2015,83326.88039706314,325779.14644015866,589937.3565132803
CHN,Shanghai,2016,435148.87951650214,43172.36378787207,513271.24203769944
CHN,Shanxi,2016,279621.6190199449,276631.87424370047,574797.3567831463
CHN,Shaanxi,2016,214612.73894080982,397501.82719028427,673626.127970976
CHN,Shandong,2016,593321.2913752806,590921.8737614183,1226257.110456281
CHN,Ningxia Hui,2016,40809.33941831641,161884.15929257395,211984.4750937008
CHN,Qinghai,2016,36654.39814480204,249844.7241073021,440145.1984957441
CHN,Liaoning,2016,447972.96812430996,270658.394206893,774099.1996914431
CHN,Chongqing,2016,133951.02747302875,63550.12416774189,292831.8756017958
CHN,Guangxi,2016,167278.69088162342,77689.61317815309,435620.3040610402
CHN,Guizhou,2016,81802.73623906662,99647.54017432508,431695.73570798023
CHN,Zhejiang,2016,659347.5755455788,99743.01158126775,1118518.0217055918
CHN,Yunnan,2016,175978.43480272623,105212.08459936877,483648.19738352066
CHN,Hebei,2016,421482.76023984613,431109.64843076374,887817.7575383093
CHN,Heilongjiang,2016,300377.1060930807,418000.99462150136,911514.3320340705
CHN,Henan,2016,372194.25294037984,397310.57459587895,808967.4553622768
CHN,Hubei,2016,209667.79581491218,85623.83504901234,469946.0017852677
CHN,Hunan,2016,180532.29204581538,44445.76088868511,431212.4935273331
CHN,Inner Mongolia,2016,184358.07593080815,784155.188813575,1223609.3695654257
CHN,Jiangsu,2016,1063495.9423772446,327929.570798306,1690293.1399790032
CHN,Guangdong,2016,834440.6076235607,108542.32090331105,1417593.802387958
CHN,Beijing,2016,363786.0847808897,61801.22081212442,433098.08466656844
CHN,Jilin,2016,217230.11229179552,216271.54308024724,477505.4745083365
CHN,Xinjiang,2016,194740.52107069924,731592.8801887628,1967521.270021973
CHN,Tianjin,2016,268343.24846562033,70244.89086831427,374172.7265605582
CHN,Jiangxi,2016,126527.59845451309,34766.39865566466,284572.3205542633
CHN,Sichuan,2016,313810.4021866311,225647.1549095461,813965.6565352419
CHN,Tibet Autonomous Region,2016,5624.856554920885,297847.9999976057,565830.9785407679
CHN,Hainan,2016,48899.34992247677,23906.865308673223,136999.15465003668
CHN,Anhui,2016,324245.9084035974,243187.85010740583,686410.1023797491
CHN,Fujian,2016,344417.17438730446,50707.24521508565,598238.3988359368
CHN,Gansu,2016,89251.67043229443,265298.8931643961,483209.7379287898
CHN,Shanghai,2017,477002.1945074586,51999.949776285546,566892.7610006836
CHN,Shanxi,2017,323921.15712654055,433620.404853435,812967.7618031783
CHN,Shaanxi,2017,240617.11483751077,534072.6513327656,956985.3423363991
CHN,Shandong,2017,671973.1726166729,828849.3136319239,1557379.7657935633
CHN,Ningxia Hui,2017,44155.93509382518,230823.44442306002,286643.36451628496
CHN,Qinghai,2017,37914.28315693491,774196.7436821148,1226329.9684179318
CHN,Liaoning,2017,460989.4528298178,390489.4402413073,955187.5141437881
